userId,movieId,rating,timestamp
1,29,3.5,1112484676
1,1243,3.0,1112485567
1,1246,3.5,1094785759
1,2138,4.0,1112485789
1,2174,4.0,1112485843
1,2253,3.5,1112486122
1,2664,3.5,1094786148
1,3476,3.5,1094786139
1,3479,4.0,1112485734
1,4754,4.0,1112484983
1,5540,4.0,1112485905
1,7164,3.5,1112485923
2,3,4.0,974820889
2,2791,2.0,974820659
2,3703,4.0,974821014
3,718,3.0,944917267
3,788,4.0,945175750
3,1213,5.0,944917691
3,1321,5.0,944918821
3,1921,4.0,945175702
3,2028,4.0,944918378
3,2053,3.0,945176099
3,2505,4.0,944897783
5,457,5.0,851527515
5,720,5.0,851527650
6,52,5.0,858275658
6,733,3.0,858275558
6,802,3.0,858275783
7,908,4.0,1011204510
7,1393,3.0,1011207810
7,1409,2.0,1011208550
7,1513,2.0,1011209284
7,1721,5.0,1011207965
7,1894,3.0,1011208487
7,2723,3.0,1011209218
7,2987,4.0,1011207589
7,3578,5.0,1011209161
7,3827,3.0,1011206977
7,4368,3.0,1011205069
8,168,3.0,833982178
8,355,2.0,833982808
8,597,5.0,833982889
9,3016,2.0,994020644
10,1136,4.0,943497986
11,145,3.0,1230785947
11,592,4.5,1230789445
11,1432,1.0,1230857283
11,1748,5.0,1230788594
11,1882,4.0,1230787636
11,2140,5.0,1230782563
11,2232,4.5,1230788590
11,2420,3.0,1230923254
11,2683,0.5,1230785729
11,2717,4.5,1230788110
11,3114,5.0,1230853680
11,5669,5.0,1230853788
11,6541,4.0,1230787787
11,27608,5.0,1230788278
11,31878,5.0,1230854021
11,33085,5.0,1230785024
11,34319,4.0,1230788451
11,50162,3.5,1230785566
11,57368,3.5,1230788571
11,64034,4.5,1251144218
11,68319,5.0,1251169682
11,69945,4.5,1294794549
11,70305,0.5,1250311985
12,104,4.0,859063825
12,364,4.0,859064062
13,153,3.0,849082393
13,292,5.0,849082451
13,435,4.0,849082697
13,589,4.0,849082498
13,590,4.0,849082366
14,314,4.0,1225311961
14,954,4.5,1225309290
14,1136,4.0,1225314172
14,1148,5.0,1225309104
14,1269,4.5,1225308877
14,2294,3.5,1225309854
14,2420,3.0,1225309057
14,3156,3.0,1225309215
14,3397,4.0,1225309200
14,4995,5.0,1225310941
14,5218,4.0,1225310960
14,6979,3.5,1225316325
14,7263,4.5,1225310522
14,8574,4.0,1225314141
14,8633,3.5,1225310496
15,10,2.0,840207465
15,17,3.0,840206835
15,326,3.0,840207366
15,377,3.0,840207618
15,457,4.0,840206747
16,2747,1.0,990969912
17,6,4.0,978765863
18,588,4.0,1195573712
18,2403,1.0,1236292945
18,6197,5.0,1211218352
18,55820,4.0,1206550220
18,58315,2.0,1236293070
19,17,4.0,855176628
